txn_date,blr_name,total_transactions,total_amount,total_biller_fee
2025-08-01,BILLER_01,114,32049,128.01
2025-08-01,BILLER_02,80,29854,118.64999999999999
2025-08-01,BILLER_03,104,31550,126.33
2025-08-01,BILLER_04,84,24632,96.45
2025-08-01,BILLER_05,103,32875,132.13
2025-08-01,BILLER_06,88,23465,94.11
2025-08-01,BILLER_07,89,25703,104.35
2025-08-01,BILLER_08,91,28015,110.59
2025-08-01,BILLER_09,89,24279,96.59
2025-08-01,BILLER_10,100,30097,122.03
2025-08-02,BILLER_01,94,31158,120.34
2025-08-02,BILLER_02,98,28449,111.34
2025-08-02,BILLER_03,85,28557,117.6
2025-08-02,BILLER_04,82,23020,90.42
2025-08-02,BILLER_05,86,23507,96.25
2025-08-02,BILLER_06,88,26147,100.35
2025-08-02,BILLER_07,88,27550,108.0
2025-08-02,BILLER_08,98,26475,107.32
2025-08-02,BILLER_09,85,23235,96.15
2025-08-02,BILLER_10,88,22509,91.92
2025-08-03,BILLER_01,79,26138,104.05
2025-08-03,BILLER_02,92,26044,102.34
2025-08-03,BILLER_03,87,27619,108.81
2025-08-03,BILLER_04,99,24498,96.95
2025-08-03,BILLER_05,103,31436,127.38000000000001
2025-08-03,BILLER_06,92,29111,114.22
2025-08-03,BILLER_07,85,25128,98.84
2025-08-03,BILLER_08,85,24652,98.5
2025-08-03,BILLER_09,89,25407,103.07000000000001
2025-08-03,BILLER_10,90,29682,117.18
2025-08-04,BILLER_01,91,25491,104.56
2025-08-04,BILLER_02,78,21917,84.78
2025-08-04,BILLER_03,91,29569,123.25
2025-08-04,BILLER_04,78,18610,73.04
2025-08-04,BILLER_05,82,26596,109.01
2025-08-04,BILLER_06,89,30420,121.43
2025-08-04,BILLER_07,73,18907,75.07000000000001
2025-08-04,BILLER_08,90,24541,99.11
2025-08-04,BILLER_09,88,31246,123.07
2025-08-04,BILLER_10,63,17436,66.11
2025-08-05,BILLER_01,96,24919,97.94
2025-08-05,BILLER_02,78,23786,90.38
2025-08-05,BILLER_03,94,29141,118.04
2025-08-05,BILLER_04,92,26883,107.2
2025-08-05,BILLER_05,85,27391,105.76
2025-08-05,BILLER_06,94,28051,112.65
2025-08-05,BILLER_07,84,27157,108.67
2025-08-05,BILLER_08,85,21353,85.27
2025-08-05,BILLER_09,85,22607,90.81
2025-08-05,BILLER_10,91,29215,119.41
2025-08-06,BILLER_01,83,23078,94.86
2025-08-06,BILLER_02,73,21458,88.86
2025-08-06,BILLER_03,86,25132,104.03
2025-08-06,BILLER_04,98,31312,125.47
2025-08-06,BILLER_05,74,24663,105.53
2025-08-06,BILLER_06,103,28143,110.15
2025-08-06,BILLER_07,90,24072,93.59
2025-08-06,BILLER_08,93,29624,114.75
2025-08-06,BILLER_09,81,24597,101.21
2025-08-06,BILLER_10,94,26107,106.18
2025-08-07,BILLER_01,83,27185,111.73
2025-08-07,BILLER_02,92,27341,105.97
2025-08-07,BILLER_03,78,29408,119.97
2025-08-07,BILLER_04,68,20741,81.15
2025-08-07,BILLER_05,69,21822,88.68
2025-08-07,BILLER_06,88,27360,110.31
2025-08-07,BILLER_07,107,36774,146.19
2025-08-07,BILLER_08,72,26364,106.92999999999999
2025-08-07,BILLER_09,86,23150,90.55
2025-08-07,BILLER_10,82,20156,82.34
2025-08-08,BILLER_01,83,23235,95.14
2025-08-08,BILLER_02,97,34439,140.82
2025-08-08,BILLER_03,82,27792,109.77
2025-08-08,BILLER_04,93,25660,103.83
2025-08-08,BILLER_05,96,30854,123.78
2025-08-08,BILLER_06,90,22263,85.98
2025-08-08,BILLER_07,94,22580,88.04
2025-08-08,BILLER_08,84,23615,94.36
2025-08-08,BILLER_09,74,22791,93.23
2025-08-08,BILLER_10,109,32267,130.39000000000001
2025-08-09,BILLER_01,84,23088,89.03
2025-08-09,BILLER_02,108,33204,136.74
2025-08-09,BILLER_03,94,22499,89.23
2025-08-09,BILLER_04,76,23343,93.94
2025-08-09,BILLER_05,95,33325,137.42000000000002
2025-08-09,BILLER_06,86,23562,91.93
2025-08-09,BILLER_07,92,24775,102.29
2025-08-09,BILLER_08,82,16679,66.2
2025-08-09,BILLER_09,92,27454,109.19
2025-08-09,BILLER_10,102,32110,128.25
2025-08-10,BILLER_01,100,35276,139.6
2025-08-10,BILLER_02,85,28404,114.32
2025-08-10,BILLER_03,73,22307,85.96
2025-08-10,BILLER_04,94,26177,100.34
2025-08-10,BILLER_05,70,20211,81.82
2025-08-10,BILLER_06,91,27955,113.34
2025-08-10,BILLER_07,93,25961,102.19
2025-08-10,BILLER_08,82,26035,106.98
2025-08-10,BILLER_09,98,29133,116.04
2025-08-10,BILLER_10,97,28867,115.14
2025-08-11,BILLER_01,123,37251,148.66
2025-08-11,BILLER_02,86,30573,120.44
2025-08-11,BILLER_03,96,30182,118.61
2025-08-11,BILLER_04,88,25712,100.47
2025-08-11,BILLER_05,85,23511,89.39
2025-08-11,BILLER_06,92,29465,116.86
2025-08-11,BILLER_07,92,24099,96.11
2025-08-11,BILLER_08,88,32453,131.36
2025-08-11,BILLER_09,108,27899,110.55
2025-08-11,BILLER_10,99,35686,137.79
2025-08-12,BILLER_01,79,20055,80.12
2025-08-12,BILLER_02,76,29855,120.82
2025-08-12,BILLER_03,97,26821,105.67
2025-08-12,BILLER_04,85,31085,126.86
2025-08-12,BILLER_05,81,25230,98.53999999999999
2025-08-12,BILLER_06,84,29249,116.51
2025-08-12,BILLER_07,91,30879,123.23
2025-08-12,BILLER_08,86,22454,88.21
2025-08-12,BILLER_09,87,23109,92.42
2025-08-12,BILLER_10,101,30891,124.34
2025-08-13,BILLER_01,84,22228,86.66
2025-08-13,BILLER_02,77,19536,78.66
2025-08-13,BILLER_03,79,24383,97.66
2025-08-13,BILLER_04,77,21955,88.19
2025-08-13,BILLER_05,97,26774,108.28999999999999
2025-08-13,BILLER_06,86,20856,86.68
2025-08-13,BILLER_07,87,25256,99.74
2025-08-13,BILLER_08,86,24145,98.5
2025-08-13,BILLER_09,83,24008,95.41
2025-08-13,BILLER_10,88,28814,118.37
2025-08-14,BILLER_01,90,24957,98.98
2025-08-14,BILLER_02,84,29073,114.99
2025-08-14,BILLER_03,91,28158,110.53
2025-08-14,BILLER_04,93,29094,116.45
2025-08-14,BILLER_05,104,33491,139.24
2025-08-14,BILLER_06,98,33621,137.26
2025-08-14,BILLER_07,86,24144,93.81
2025-08-14,BILLER_08,96,31055,123.56
2025-08-14,BILLER_09,85,29387,112.9
2025-08-14,BILLER_10,102,26636,107.32000000000001
2025-08-15,BILLER_01,79,22563,91.65
2025-08-15,BILLER_02,97,33076,135.16
2025-08-15,BILLER_03,82,29244,114.0
2025-08-15,BILLER_04,102,29744,117.68
2025-08-15,BILLER_05,82,30972,121.56
2025-08-15,BILLER_06,100,23360,91.47
2025-08-15,BILLER_07,92,25334,101.82
2025-08-15,BILLER_08,98,29596,121.95
2025-08-15,BILLER_09,94,29686,116.49
2025-08-15,BILLER_10,73,18297,73.14
2025-08-16,BILLER_01,89,27128,107.6
2025-08-16,BILLER_02,105,33148,131.65
2025-08-16,BILLER_03,101,28457,115.51
2025-08-16,BILLER_04,91,30575,124.01
2025-08-16,BILLER_05,101,32569,133.71
2025-08-16,BILLER_06,87,26188,105.23
2025-08-16,BILLER_07,92,27262,110.38
2025-08-16,BILLER_08,86,25213,98.2
2025-08-16,BILLER_09,81,28375,111.18
2025-08-16,BILLER_10,104,30961,122.4
2025-08-17,BILLER_01,94,25465,100.81
2025-08-17,BILLER_02,91,22831,91.2
2025-08-17,BILLER_03,80,26648,108.06
2025-08-17,BILLER_04,102,30125,119.65
2025-08-17,BILLER_05,89,29452,118.12
2025-08-17,BILLER_06,72,25311,100.10000000000001
2025-08-17,BILLER_07,104,32392,129.87
2025-08-17,BILLER_08,82,24062,98.95
2025-08-17,BILLER_09,78,22741,92.79
2025-08-17,BILLER_10,90,22945,91.33
2025-08-18,BILLER_01,154,42361,166.98
2025-08-18,BILLER_02,127,38840,153.73
2025-08-18,BILLER_03,142,41261,159.85
2025-08-18,BILLER_04,144,44002,180.72
2025-08-18,BILLER_05,137,40224,163.89
2025-08-18,BILLER_06,153,45931,187.44
2025-08-18,BILLER_07,134,48236,196.18
2025-08-18,BILLER_08,146,47268,185.68
2025-08-18,BILLER_09,127,41737,163.88
2025-08-18,BILLER_10,138,35600,142.14
2025-08-19,BILLER_01,144,42095,164.14
2025-08-19,BILLER_02,163,41483,166.63
2025-08-19,BILLER_03,150,43275,171.19
2025-08-19,BILLER_04,127,35768,146.41
2025-08-19,BILLER_05,125,34177,133.58
2025-08-19,BILLER_06,134,44100,173.43
2025-08-19,BILLER_07,133,42393,167.02
2025-08-19,BILLER_08,150,45722,184.79
2025-08-19,BILLER_09,144,39324,154.17
2025-08-19,BILLER_10,157,52249,201.74
2025-08-20,BILLER_01,149,38374,155.14
2025-08-20,BILLER_02,141,47089,189.49
2025-08-20,BILLER_03,140,40054,157.64
2025-08-20,BILLER_04,143,42400,169.95
2025-08-20,BILLER_05,143,44098,178.87
2025-08-20,BILLER_06,138,45680,182.38
2025-08-20,BILLER_07,154,42935,170.27
2025-08-20,BILLER_08,150,47517,197.71
2025-08-20,BILLER_09,147,45273,178.6
2025-08-20,BILLER_10,133,43014,173.85999999999999
2025-08-21,BILLER_01,90,28595,115.3
2025-08-21,BILLER_02,98,29295,115.86
2025-08-21,BILLER_03,95,26207,105.47
2025-08-21,BILLER_04,90,28162,108.59
2025-08-21,BILLER_05,83,24107,95.01
2025-08-21,BILLER_06,102,29044,119.61
2025-08-21,BILLER_07,81,25823,106.43
2025-08-21,BILLER_08,94,30837,123.65
2025-08-21,BILLER_09,107,36240,143.78
2025-08-21,BILLER_10,99,28335,110.99
2025-08-22,BILLER_01,91,28707,116.59
2025-08-22,BILLER_02,99,26312,107.46
2025-08-22,BILLER_03,83,25357,104.51
2025-08-22,BILLER_04,98,27475,106.53
2025-08-22,BILLER_05,79,25496,98.27
2025-08-22,BILLER_06,108,30611,122.45
2025-08-22,BILLER_07,101,26908,110.67
2025-08-22,BILLER_08,78,21436,86.48
2025-08-22,BILLER_09,85,21450,83.06
2025-08-22,BILLER_10,102,28327,112.05
2025-08-23,BILLER_01,98,34391,138.76
2025-08-23,BILLER_02,106,29713,116.02
2025-08-23,BILLER_03,95,24336,96.17
2025-08-23,BILLER_04,94,32979,131.56
2025-08-23,BILLER_05,84,36245,146.45
2025-08-23,BILLER_06,96,31859,128.4
2025-08-23,BILLER_07,92,27887,114.47
2025-08-23,BILLER_08,78,24968,97.22
2025-08-23,BILLER_09,89,32596,132.64
2025-08-23,BILLER_10,99,29711,119.69
2025-08-24,BILLER_01,98,28171,114.6
2025-08-24,BILLER_02,77,18771,71.9
2025-08-24,BILLER_03,92,30921,122.59
2025-08-24,BILLER_04,98,26844,106.12
2025-08-24,BILLER_05,95,28433,117.36
2025-08-24,BILLER_06,98,29778,119.42
2025-08-24,BILLER_07,77,21500,86.02
2025-08-24,BILLER_08,105,30367,122.93
2025-08-24,BILLER_09,87,26373,105.64
2025-08-24,BILLER_10,79,21355,89.33
2025-08-25,BILLER_01,93,25174,99.52
2025-08-25,BILLER_02,104,31458,121.44
2025-08-25,BILLER_03,97,28314,110.24000000000001
2025-08-25,BILLER_04,107,36971,145.73
2025-08-25,BILLER_05,87,27021,108.61
2025-08-25,BILLER_06,82,19046,75.03999999999999
2025-08-25,BILLER_07,106,32365,128.14
2025-08-25,BILLER_08,81,26758,106.48
2025-08-25,BILLER_09,71,24660,94.92
2025-08-25,BILLER_10,73,15744,62.59
2025-08-26,BILLER_01,86,27541,111.97
2025-08-26,BILLER_02,97,33117,131.71
2025-08-26,BILLER_03,86,26106,104.66
2025-08-26,BILLER_04,90,24554,98.94
2025-08-26,BILLER_05,106,30883,123.37
2025-08-26,BILLER_06,81,26175,100.32000000000001
2025-08-26,BILLER_07,113,32700,130.61
2025-08-26,BILLER_08,96,25760,101.14
2025-08-26,BILLER_09,85,24531,97.91
2025-08-26,BILLER_10,84,26948,105.37
2025-08-27,BILLER_01,73,21233,84.41
2025-08-27,BILLER_02,87,26163,106.15
2025-08-27,BILLER_03,86,23713,94.29
2025-08-27,BILLER_04,94,23773,94.42999999999999
2025-08-27,BILLER_05,85,27994,114.42999999999999
2025-08-27,BILLER_06,88,23253,95.31
2025-08-27,BILLER_07,84,23213,96.65
2025-08-27,BILLER_08,93,26695,105.42
2025-08-27,BILLER_09,82,21797,89.82
2025-08-27,BILLER_10,85,30231,119.22
2025-08-28,BILLER_01,73,22748,92.07
2025-08-28,BILLER_02,84,25129,102.38
2025-08-28,BILLER_03,78,23973,100.53999999999999
2025-08-28,BILLER_04,99,31522,128.99
2025-08-28,BILLER_05,96,31941,127.86
2025-08-28,BILLER_06,85,21854,83.77
2025-08-28,BILLER_07,91,27007,106.31
2025-08-28,BILLER_08,85,22638,91.11
2025-08-28,BILLER_09,101,30604,124.96
2025-08-28,BILLER_10,78,25592,104.64
2025-08-29,BILLER_01,112,27343,115.64
2025-08-29,BILLER_02,80,19918,79.9
2025-08-29,BILLER_03,91,26596,106.99
2025-08-29,BILLER_04,105,30319,120.34
2025-08-29,BILLER_05,112,31669,125.94
2025-08-29,BILLER_06,83,23394,97.34
2025-08-29,BILLER_07,99,25723,100.0
2025-08-29,BILLER_08,80,27718,113.19
2025-08-29,BILLER_09,104,34920,138.92
2025-08-29,BILLER_10,89,26174,101.78
2025-08-30,BILLER_01,95,24413,98.64
2025-08-30,BILLER_02,71,17736,69.69
2025-08-30,BILLER_03,100,32312,127.61
2025-08-30,BILLER_04,78,25232,98.54
2025-08-30,BILLER_05,111,36974,143.71
2025-08-30,BILLER_06,88,21370,84.38
2025-08-30,BILLER_07,91,32702,128.01
2025-08-30,BILLER_08,91,28182,114.57000000000001
2025-08-30,BILLER_09,95,26001,100.31
2025-08-30,BILLER_10,97,31702,129.62
2025-08-31,BILLER_01,81,22382,88.74
2025-08-31,BILLER_02,91,32679,133.8
2025-08-31,BILLER_03,101,34180,137.62
2025-08-31,BILLER_04,82,20462,84.18
2025-08-31,BILLER_05,93,23365,94.42999999999999
2025-08-31,BILLER_06,81,27338,109.27
2025-08-31,BILLER_07,69,23565,93.22
2025-08-31,BILLER_08,95,31006,124.36
2025-08-31,BILLER_09,85,27688,111.62
2025-08-31,BILLER_10,95,21617,87.66
2025-09-01,BILLER_01,73,17630,70.34
2025-09-01,BILLER_02,65,16428,65.39
2025-09-01,BILLER_03,105,28379,114.93
2025-09-01,BILLER_04,72,21230,87.62
2025-09-01,BILLER_05,93,25047,98.73
2025-09-01,BILLER_06,94,32527,131.52
2025-09-01,BILLER_07,74,20264,79.05
2025-09-01,BILLER_08,67,17634,68.39
2025-09-01,BILLER_09,83,19761,77.28
2025-09-01,BILLER_10,78,19835,81.31
2025-09-02,BILLER_01,67,19267,75.15
2025-09-02,BILLER_02,72,21411,86.55
2025-09-02,BILLER_03,66,18340,74.48
2025-09-02,BILLER_04,65,17888,66.98
2025-09-02,BILLER_05,80,25347,105.17
2025-09-02,BILLER_06,82,21834,90.15
2025-09-02,BILLER_07,74,24794,100.03999999999999
2025-09-02,BILLER_08,78,23491,96.95
2025-09-02,BILLER_09,76,21662,86.42
2025-09-02,BILLER_10,92,30938,123.31
2025-09-03,BILLER_01,64,19223,74.4
2025-09-03,BILLER_02,62,15215,62.48
2025-09-03,BILLER_03,71,21890,89.34
2025-09-03,BILLER_04,74,23549,95.42
2025-09-03,BILLER_05,72,21878,89.2
2025-09-03,BILLER_06,74,22120,91.67999999999999
2025-09-03,BILLER_07,85,24477,96.42
2025-09-03,BILLER_08,84,25704,103.47
2025-09-03,BILLER_09,86,24778,99.88
2025-09-03,BILLER_10,92,27484,105.08
2025-09-04,BILLER_01,67,17997,72.86
2025-09-04,BILLER_02,69,18992,76.38
2025-09-04,BILLER_03,79,28838,117.72
2025-09-04,BILLER_04,78,18790,73.88
2025-09-04,BILLER_05,75,22530,88.59
2025-09-04,BILLER_06,79,26078,100.91
2025-09-04,BILLER_07,75,19167,74.74
2025-09-04,BILLER_08,64,18914,76.92999999999999
2025-09-04,BILLER_09,56,20170,80.21
2025-09-04,BILLER_10,70,23869,98.24
2025-09-05,BILLER_01,65,15025,60.4
2025-09-05,BILLER_02,80,24649,99.54
2025-09-05,BILLER_03,68,19247,76.87
2025-09-05,BILLER_04,75,23649,92.06
2025-09-05,BILLER_05,85,25556,103.89
2025-09-05,BILLER_06,74,19744,80.65
2025-09-05,BILLER_07,83,21489,86.35
2025-09-05,BILLER_08,81,29430,117.08
2025-09-05,BILLER_09,77,20387,83.67
2025-09-05,BILLER_10,69,17238,70.16
2025-09-06,BILLER_01,107,31757,121.7
2025-09-06,BILLER_02,108,26760,106.33
2025-09-06,BILLER_03,108,28395,113.82000000000001
2025-09-06,BILLER_04,106,32963,128.62
2025-09-06,BILLER_05,114,34923,143.34
2025-09-06,BILLER_06,112,35409,137.9
2025-09-06,BILLER_07,112,34040,135.61
2025-09-06,BILLER_08,99,30549,122.11
2025-09-06,BILLER_09,121,30655,121.12
2025-09-06,BILLER_10,103,27152,104.15
2025-09-07,BILLER_01,101,32067,127.32
2025-09-07,BILLER_02,115,37499,151.43
2025-09-07,BILLER_03,102,30234,122.65
2025-09-07,BILLER_04,99,28762,116.85
2025-09-07,BILLER_05,105,34059,134.18
2025-09-07,BILLER_06,115,41809,165.0
2025-09-07,BILLER_07,115,35373,141.92
2025-09-07,BILLER_08,95,29617,123.58
2025-09-07,BILLER_09,105,29737,117.44
2025-09-07,BILLER_10,135,41652,171.78
2025-09-08,BILLER_01,108,31607,125.2
2025-09-08,BILLER_02,100,31993,127.03
2025-09-08,BILLER_03,106,32773,129.27
2025-09-08,BILLER_04,128,39180,153.06
2025-09-08,BILLER_05,93,25152,102.37
2025-09-08,BILLER_06,113,32304,128.89000000000001
2025-09-08,BILLER_07,117,37319,150.52
2025-09-08,BILLER_08,128,35553,143.19
2025-09-08,BILLER_09,121,33788,131.95
2025-09-08,BILLER_10,115,39595,164.72
2025-09-09,BILLER_01,64,16145,64.69
2025-09-09,BILLER_02,66,22359,87.17
2025-09-09,BILLER_03,67,24840,102.17
2025-09-09,BILLER_04,74,20606,84.45
2025-09-09,BILLER_05,74,24833,99.53999999999999
2025-09-09,BILLER_06,81,22149,88.25
2025-09-09,BILLER_07,84,21371,85.47
2025-09-09,BILLER_08,85,22716,91.41
2025-09-09,BILLER_09,77,26098,106.95
2025-09-09,BILLER_10,63,19573,79.53
2025-09-10,BILLER_01,81,20690,84.99
2025-09-10,BILLER_02,62,19645,75.98
2025-09-10,BILLER_03,71,26098,107.65
2025-09-10,BILLER_04,74,19699,78.39
2025-09-10,BILLER_05,89,26306,104.67
2025-09-10,BILLER_06,87,29457,117.82
2025-09-10,BILLER_07,69,18062,71.87
2025-09-10,BILLER_08,75,22478,91.13
2025-09-10,BILLER_09,74,21192,87.9
2025-09-10,BILLER_10,77,20060,80.98
2025-09-11,BILLER_01,75,22277,87.94
2025-09-11,BILLER_02,80,26364,105.86
2025-09-11,BILLER_03,74,20058,80.17
2025-09-11,BILLER_04,84,25318,101.63
2025-09-11,BILLER_05,68,18651,76.13
2025-09-11,BILLER_06,86,25949,102.03
2025-09-11,BILLER_07,89,31354,120.66
2025-09-11,BILLER_08,90,24942,97.2
2025-09-11,BILLER_09,74,23217,94.59
2025-09-11,BILLER_10,92,29285,117.09
2025-09-12,BILLER_01,80,22576,90.53
2025-09-12,BILLER_02,77,28448,113.95
2025-09-12,BILLER_03,64,16923,68.18
2025-09-12,BILLER_04,86,26001,106.24
2025-09-12,BILLER_05,65,21875,85.17
2025-09-12,BILLER_06,83,22473,84.45
2025-09-12,BILLER_07,86,26037,102.74
2025-09-12,BILLER_08,61,18307,68.15
2025-09-12,BILLER_09,81,22976,91.32000000000001
2025-09-12,BILLER_10,94,32822,133.14
2025-09-13,BILLER_01,86,31587,127.76
2025-09-13,BILLER_02,71,20445,83.86
2025-09-13,BILLER_03,80,22895,87.43
2025-09-13,BILLER_04,101,31671,128.65
2025-09-13,BILLER_05,78,23028,87.8
2025-09-13,BILLER_06,79,26934,114.79
2025-09-13,BILLER_07,99,33604,135.97
2025-09-13,BILLER_08,68,21784,85.7
2025-09-13,BILLER_09,92,24922,102.14
2025-09-13,BILLER_10,69,19548,78.94
2025-09-14,BILLER_01,70,18926,72.96000000000001
2025-09-14,BILLER_02,78,25779,104.68
2025-09-14,BILLER_03,64,19867,79.61
2025-09-14,BILLER_04,77,26559,106.51
2025-09-14,BILLER_05,85,25594,100.76
2025-09-14,BILLER_06,75,23935,97.67999999999999
2025-09-14,BILLER_07,73,19408,75.73
2025-09-14,BILLER_08,81,24047,97.91
2025-09-14,BILLER_09,69,20489,83.85
2025-09-14,BILLER_10,88,26014,102.22
2025-09-15,BILLER_01,75,22279,89.83
2025-09-15,BILLER_02,95,23660,98.17
2025-09-15,BILLER_03,71,21348,85.73
2025-09-15,BILLER_04,69,21102,86.8
2025-09-15,BILLER_05,58,14336,53.13
2025-09-15,BILLER_06,76,20409,83.21
2025-09-15,BILLER_07,74,19015,74.75
2025-09-15,BILLER_08,82,21140,86.37
2025-09-15,BILLER_09,91,29308,118.44
2025-09-15,BILLER_10,93,27671,114.24
2025-09-16,BILLER_01,71,20769,79.92
